company,avg_price
Jaguar,2495000
Land,2100000
Mini,1891111
Volvo,1850000
Audi,1554700
Mitsubishi,1263000
Mercedes,1170666.8333333333
BMW,1049875
Jeep,950000
Mahindra,620497.3846153846
Force,565000
Toyota,502352.76470588235
Ford,488615.3076923077
Nissan,460666.3333333333
Renault,449573.3846153846
Volkswagen,421176.17647058825
Honda,348901.64705882355
Hyundai,321887.496124031
Hindustan,303333.3333333333
Skoda,276448.8
Maruti,271074.22277227725
Datsun,259166.33333333334
Tata,196902.52459016393
Chevrolet,196845.42424242425
Fiat,121500
